id,text,spam,scam_type,language,url_present,url_harmful
1,"Congratulations! You have won PKR 500,000 in HBL Lucky Draw. Call 0300-1234567 to claim your prize. Bring your CNIC.",spam,lottery_prize_scam,english,no,
2,"Dear Customer, your Meezan Bank account has been suspended due to suspicious activity. Verify immediately: http://meezan-secure-login.xyz",spam,bank_phishing,english,yes,yes
3,BISP khuskhbri! Aap ko 25000 rupay ki qist mil gayi hai. Hasil karne ke liye is number par call karen: 0331-9876543,spam,BISP_government_scam,roman_urdu,no,
4,Your JazzCash account will be blocked. Please verify your PIN at http://jazzcash-verify.com.pk-login.net immediately.,spam,mobile_wallet_phishing,english,yes,yes
5,"Salam! Mujhe ek emergency hai. Mera phone khatam ho gaya hai. Please 500 rupay ka easyload kar dein, main kal wapis kar deta hun.",spam,easyload_scam,roman_urdu,no,
6,HBL Bank Alert: Your ATM card has been blocked. Call 021-99999 or visit http://hbl-atm-unblock.info to reactivate.,spam,bank_phishing,english,yes,yes
7,آپ کو پاکستان پوسٹ کی طرف سے اطلاع دی جاتی ہے کہ آپ کا پارسل ڈیلیور نہیں ہو سکا۔ فیس ادا کرنے کے لیے یہ لنک کھولیں: http://pk-post-delivery.xyz,spam,parcel_delivery_scam,urdu,yes,yes
8,"UK Lottery Award: You have been selected as a winner of GBP 850,000. Send your name, CNIC, and address to claim. Contact: uklottery.pk@gmail.com",spam,foreign_lottery_scam,english,no,
9,"Easypaisa Alert: Transaction of Rs.15,000 failed. Verify your account: http://easypaisa-secure.net or your account will be closed.",spam,mobile_wallet_phishing,english,yes,yes
10,"Dear valued customer, your UBL internet banking password expires today. Update now: http://ubl-netbanking.verify-now.com",spam,bank_phishing,english,yes,yes
11,"آپ نے Telenor Lucky Draw میں حصہ لیا تھا۔ آپ نے 1,00,000 روپے جیت لیے ہیں۔ انعام لینے کے لیے ابھی کال کریں: 0345-1122334",spam,telecom_lottery_scam,urdu,no,
12,"Congratulations! Your SIM card has been selected for a Ufone special reward of Rs. 50,000. Reply YES to claim or visit http://ufone-reward.pk-win.xyz",spam,telecom_lottery_scam,english,yes,yes
